ms,x_gaze,y_gaze,valid,card_id_gaze,grid_position_gaze,x_click,y_click,flip,matched,card_id_click,grid_position_click
3118,1906,1110,1,1,24,-1,-1,-1,-1,-1,-1
3181,1916,1090,1,1,24,-1,-1,-1,-1,-1,-1
3213,1909,1084,1,1,24,-1,-1,-1,-1,-1,-1
3245,1909,1072,1,1,24,-1,-1,-1,-1,-1,-1
3289,1898,1062,1,1,24,-1,-1,-1,-1,-1,-1
3319,1899,1055,1,1,24,-1,-1,-1,-1,-1,-1
3347,1897,1053,1,1,24,-1,-1,-1,-1,-1,-1
3372,1891,1044,1,1,24,-1,-1,-1,-1,-1,-1
3395,1889,1044,1,1,24,-1,-1,-1,-1,-1,-1
3421,1883,1044,1,1,24,-1,-1,-1,-1,-1,-1
3456,1881,1044,1,1,24,-1,-1,-1,-1,-1,-1
3486,1890,1043,1,1,24,-1,-1,-1,-1,-1,-1
3517,1890,1043,0,1,24,-1,-1,-1,-1,-1,-1
3549,1902,1049,1,1,24,-1,-1,-1,-1,-1,-1
3613,1923,1052,1,1,24,-1,-1,-1,-1,-1,-1
3648,1952,1055,1,1,24,-1,-1,-1,-1,-1,-1
3678,1967,1056,1,1,24,-1,-1,-1,-1,-1,-1
3706,1974,1058,1,1,24,-1,-1,-1,-1,-1,-1
3733,1977,1050,1,1,24,-1,-1,-1,-1,-1,-1
3761,1968,1043,1,1,24,-1,-1,-1,-1,-1,-1
3788,1966,1040,1,1,24,-1,-1,-1,-1,-1,-1
3822,1950,1041,1,1,24,-1,-1,-1,-1,-1,-1
3855,1929,1044,1,1,24,-1,-1,-1,-1,-1,-1
3886,1920,1015,1,1,24,-1,-1,-1,-1,-1,-1
3917,1859,1002,1,1,24,-1,-1,-1,-1,-1,-1
3983,1792,970,1,1,24,-1,-1,-1,-1,-1,-1
4014,1709,974,1,1,24,-1,-1,-1,-1,-1,-1
4044,1668,961,1,1,24,-1,-1,-1,-1,-1,-1
4080,1593,973,1,-1,-1,-1,-1,-1,-1,-1,-1
4115,1578,958,1,-1,-1,-1,-1,-1,-1,-1,-1
4144,1557,957,1,4,23,-1,-1,-1,-1,-1,-1
4170,1544,906,1,4,23,-1,-1,-1,-1,-1,-1
