session_id,timestamp_ms,phase,event_type,gaze_x,gaze_y,click_x,click_y,element_type,card_row,card_col,card_id,card_image_name,matched,game_time_ms
20251213_151001,54601761,memorization,phase_start,,,,,,,,,,,0
20251213_151001,54601829,memorization,gaze_sample,2166,688,,,card,1,4,3,3.png,,0
20251213_151001,54601892,memorization,gaze_sample,2166,688,,,card,1,4,3,3.png,,0
20251213_151001,54601953,memorization,gaze_sample,2155,683,,,card,1,4,3,3.png,,0
20251213_151001,54602015,memorization,gaze_sample,2160,679,,,card,1,4,3,3.png,,0
20251213_151001,54602077,memorization,gaze_sample,2158,674,,,card,1,4,3,3.png,,0
20251213_151001,54602139,memorization,gaze_sample,2154,655,,,card,1,4,3,3.png,,0
20251213_151001,54602199,memorization,gaze_sample,2154,635,,,card,1,4,3,3.png,,0
20251213_151001,54602262,memorization,gaze_sample,2155,608,,,card,1,4,3,3.png,,0
20251213_151001,54602325,memorization,gaze_sample,2149,581,,,card,1,4,3,3.png,,0
20251213_151001,54602403,memorization,gaze_sample,2152,549,,,card,1,4,3,3.png,,0
20251213_151001,54602464,memorization,gaze_sample,2107,599,,,card,1,4,3,3.png,,0
20251213_151001,54602526,memorization,gaze_sample,2097,592,,,card,1,4,3,3.png,,0
20251213_151001,54602589,memorization,gaze_sample,2097,591,,,card,1,4,3,3.png,,0
20251213_151001,54602649,memorization,gaze_sample,2096,592,,,card,1,4,3,3.png,,0
20251213_151001,54602710,memorization,gaze_sample,2092,588,,,card,1,4,3,3.png,,0
20251213_151001,54602771,memorization,gaze_sample,2133,514,,,card,1,4,3,3.png,,0
20251213_151001,54602833,memorization,gaze_sample,1974,634,,,card,1,3,3,3.png,,0
20251213_151001,54602896,memorization,gaze_sample,1831,736,,,card,1,3,3,3.png,,0
20251213_151001,54602957,memorization,gaze_sample,1719,797,,,card,2,3,1,1.png,,0
20251213_151001,54603018,memorization,gaze_sample,1649,869,,,grid_frame,,,,,,0
20251213_151001,54603077,memorization,gaze_sample,1637,900,,,card,2,2,4,4.png,,0
20251213_151001,54603139,memorization,gaze_sample,1788,808,,,card,2,3,1,1.png,,0
20251213_151001,54603203,memorization,gaze_sample,1915,723,,,card,1,3,3,3.png,,0
20251213_151001,54603265,memorization,gaze_sample,2014,683,,,grid_frame,,,,,,0
20251213_151001,54603329,memorization,gaze_sample,1958,618,,,card,1,3,3,3.png,,0
20251213_151001,54603387,memorization,gaze_sample,1963,618,,,card,1,3,3,3.png,,0
20251213_151001,54603452,memorization,gaze_sample,1964,604,,,card,1,3,3,3.png,,0
20251213_151001,54603515,memorization,gaze_sample,1982,600,,,grid_frame,,,,,,0
20251213_151001,54603576,memorization,gaze_sample,1982,600,,,grid_frame,,,,,,0
20251213_151001,54603638,memorization,gaze_sample,1997,593,,,grid_frame,,,,,,0
20251213_151001,54603701,memorization,gaze_sample,2126,606,,,card,1,4,3,3.png,,0
20251213_151001,54603764,memorization,gaze_sample,2142,596,,,card,1,4,3,3.png,,0
20251213_151001,54603826,memorization,gaze_sample,2158,593,,,card,1,4,3,3.png,,0
20251213_151001,54603888,memorization,gaze_sample,2160,592,,,card,1,4,3,3.png,,0
20251213_151001,54603950,memorization,gaze_sample,2163,592,,,card,1,4,3,3.png,,0
20251213_151001,54604015,memorization,gaze_sample,2163,592,,,card,1,4,3,3.png,,0
20251213_151001,54604079,memorization,gaze_sample,2160,593,,,card,1,4,3,3.png,,0
20251213_151001,54604143,memorization,gaze_sample,2160,590,,,card,1,4,3,3.png,,0
20251213_151001,54604214,memorization,gaze_sample,2117,645,,,card,1,4,3,3.png,,0
20251213_151001,54604276,memorization,gaze_sample,2115,643,,,card,1,4,3,3.png,,0
20251213_151001,54604337,memorization,gaze_sample,2115,643,,,card,1,4,3,3.png,,0
20251213_151001,54604401,memorization,gaze_sample,2108,634,,,card,1,4,3,3.png,,0
20251213_151001,54604464,memorization,gaze_sample,2112,638,,,card,1,4,3,3.png,,0
20251213_151001,54604523,memorization,gaze_sample,2112,638,,,card,1,4,3,3.png,,0
20251213_151001,54604587,memorization,gaze_sample,2113,641,,,card,1,4,3,3.png,,0
20251213_151001,54604647,memorization,gaze_sample,2151,577,,,card,1,4,3,3.png,,0
20251213_151001,54604709,memorization,gaze_sample,2151,577,,,card,1,4,3,3.png,,0
20251213_151001,54604772,memorization,gaze_sample,2097,585,,,card,1,4,3,3.png,,0
20251213_151001,54604834,memorization,gaze_sample,2047,602,,,card,1,4,3,3.png,,0
