session_id,game_id,timestamp_ms,phase,event_type,gaze_x,gaze_y,click_x,click_y,element_type,card_row,card_col,card_id,card_image_name,matched,game_time_ms
20251218_155156,10,57655037,memorization,phase_start,,,,,,,,,,,0
20251218_155156,10,57655122,memorization,gaze_sample,1533,861,,,card,2,3,,C:\ola\uczelniane\inzynierka\repo\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\4.png,,0
20251218_155156,10,57655187,memorization,gaze_sample,1518,1042,,,card,2,3,,C:\ola\uczelniane\inzynierka\repo\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\4.png,,0
20251218_155156,10,57655254,memorization,gaze_sample,1496,982,,,card,2,3,,C:\ola\uczelniane\inzynierka\repo\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\4.png,,0
20251218_155156,10,57655307,memorization,gaze_sample,1253,592,,,card,1,3,,C:\ola\uczelniane\inzynierka\repo\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\1.png,,0
20251218_155156,10,57655375,memorization,gaze_sample,1120,448,,,card,1,3,,C:\ola\uczelniane\inzynierka\repo\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\1.png,,0
20251218_155156,10,57655438,memorization,gaze_sample,870,285,,,card,1,2,,C:\ola\uczelniane\inzynierka\repo\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\2.png,,0
20251218_155156,10,57655506,memorization,gaze_sample,845,235,,,grid_frame,,,,,,0
20251218_155156,10,57655552,memorization,gaze_sample,994,510,,,card,1,2,,C:\ola\uczelniane\inzynierka\repo\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\2.png,,0
20251218_155156,10,57655619,memorization,gaze_sample,1177,515,,,card,1,3,,C:\ola\uczelniane\inzynierka\repo\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\1.png,,0
20251218_155156,10,57655687,memorization,gaze_sample,1067,467,,,grid_frame,,,,,,0
20251218_155156,10,57655749,memorization,gaze_sample,1067,467,,,grid_frame,,,,,,0
20251218_155156,10,57655806,memorization,gaze_sample,1310,526,,,card,1,3,,C:\ola\uczelniane\inzynierka\repo\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\1.png,,0
20251218_155156,10,57655870,memorization,gaze_sample,1341,270,,,grid_frame,,,,,,0
20251218_155156,10,57655928,memorization,gaze_sample,1380,36,,,other,,,,,,0
20251218_155156,10,57656007,memorization,gaze_sample,1116,-34,,,other,,,,,,0
20251218_155156,10,57656055,memorization,gaze_sample,1079,-28,,,other,,,,,,0
20251218_155156,10,57656124,memorization,gaze_sample,813,-114,,,other,,,,,,0
20251218_155156,10,57656188,memorization,gaze_sample,564,-165,,,other,,,,,,0
20251218_155156,10,57656250,memorization,gaze_sample,325,-247,,,other,,,,,,0
20251218_155156,10,57656306,memorization,gaze_sample,325,-228,,,other,,,,,,0
20251218_155156,10,57656368,memorization,gaze_sample,351,-224,,,other,,,,,,0
20251218_155156,10,57656437,memorization,gaze_sample,375,9,,,other,,,,,,0
20251218_155156,10,57656500,memorization,gaze_sample,328,-20,,,other,,,,,,0
20251218_155156,10,57656553,memorization,gaze_sample,286,43,,,other,,,,,,0
20251218_155156,10,57656626,memorization,gaze_sample,541,185,,,timer_label,,,,,,0
20251218_155156,10,57656687,memorization,gaze_sample,818,533,,,card,1,2,,C:\ola\uczelniane\inzynierka\repo\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\2.png,,0
20251218_155156,10,57656753,memorization,gaze_sample,1038,480,,,card,1,2,,C:\ola\uczelniane\inzynierka\repo\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\2.png,,0
20251218_155156,10,57656807,memorization,gaze_sample,1083,479,,,grid_frame,,,,,,0
20251218_155156,10,57656876,memorization,gaze_sample,1330,582,,,card,1,3,,C:\ola\uczelniane\inzynierka\repo\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\1.png,,0
