session_id,timestamp_ms,phase,event_type,gaze_x,gaze_y,click_x,click_y,element_type,card_row,card_col,card_id,card_image_name,matched,game_time_ms
20251214_001037,637873,memorization,phase_start,,,,,,,,,,,0
20251214_001037,637941,memorization,gaze_sample,1774,526,,,card,1,3,3,3.png,,0
20251214_001037,638003,memorization,gaze_sample,1774,526,,,card,1,3,3,3.png,,0
20251214_001037,638065,memorization,gaze_sample,1776,532,,,card,1,3,3,3.png,,0
20251214_001037,638125,memorization,gaze_sample,1776,532,,,card,1,3,3,3.png,,0
20251214_001037,638188,memorization,gaze_sample,1776,532,,,card,1,3,3,3.png,,0
20251214_001037,638251,memorization,gaze_sample,1647,521,,,card,1,2,4,4.png,,0
20251214_001037,638313,memorization,gaze_sample,1563,522,,,card,1,2,4,4.png,,0
20251214_001037,638374,memorization,gaze_sample,1462,521,,,card,1,2,4,4.png,,0
20251214_001037,638437,memorization,gaze_sample,1360,524,,,card,1,2,4,4.png,,0
20251214_001037,638499,memorization,gaze_sample,1228,499,,,card,1,1,2,2.png,,0
20251214_001037,638562,memorization,gaze_sample,1199,487,,,card,1,1,2,2.png,,0
20251214_001037,638622,memorization,gaze_sample,1177,472,,,card,1,1,2,2.png,,0
20251214_001037,638685,memorization,gaze_sample,1144,454,,,card,1,1,2,2.png,,0
20251214_001037,638747,memorization,gaze_sample,1111,432,,,card,1,1,2,2.png,,0
20251214_001037,638808,memorization,gaze_sample,1109,429,,,card,1,1,2,2.png,,0
20251214_001037,638870,memorization,gaze_sample,1113,428,,,card,1,1,2,2.png,,0
20251214_001037,638932,memorization,gaze_sample,1110,418,,,card,1,1,2,2.png,,0
20251214_001037,638995,memorization,gaze_sample,1111,410,,,card,1,1,2,2.png,,0
20251214_001037,639057,memorization,gaze_sample,1122,403,,,card,1,1,2,2.png,,0
20251214_001037,639120,memorization,gaze_sample,1130,405,,,card,1,1,2,2.png,,0
20251214_001037,639182,memorization,gaze_sample,1135,401,,,card,1,1,2,2.png,,0
20251214_001037,639244,memorization,gaze_sample,1143,407,,,card,1,1,2,2.png,,0
20251214_001037,639307,memorization,gaze_sample,1156,413,,,card,1,1,2,2.png,,0
20251214_001037,639369,memorization,gaze_sample,1151,418,,,card,1,1,2,2.png,,0
20251214_001037,639432,memorization,gaze_sample,1147,426,,,card,1,1,2,2.png,,0
20251214_001037,639494,memorization,gaze_sample,1147,431,,,card,1,1,2,2.png,,0
20251214_001037,639555,memorization,gaze_sample,1190,437,,,card,1,1,2,2.png,,0
20251214_001037,639619,memorization,gaze_sample,1247,435,,,card,1,1,2,2.png,,0
20251214_001037,639681,memorization,gaze_sample,1294,439,,,card,1,1,2,2.png,,0
20251214_001037,639742,memorization,gaze_sample,1357,423,,,card,1,2,4,4.png,,0
20251214_001037,639803,memorization,gaze_sample,1417,435,,,card,1,2,4,4.png,,0
20251214_001037,639880,memorization,gaze_sample,1442,438,,,card,1,2,4,4.png,,0
20251214_001037,639941,memorization,gaze_sample,1442,438,,,card,1,2,4,4.png,,0
20251214_001037,640006,memorization,gaze_sample,1459,438,,,card,1,2,4,4.png,,0
20251214_001037,640068,memorization,gaze_sample,1486,448,,,card,1,2,4,4.png,,0
20251214_001037,640130,memorization,gaze_sample,1491,460,,,card,1,2,4,4.png,,0
20251214_001037,640192,memorization,gaze_sample,1491,460,,,card,1,2,4,4.png,,0
20251214_001037,640255,memorization,gaze_sample,1501,461,,,card,1,2,4,4.png,,0
20251214_001037,640316,memorization,gaze_sample,1510,458,,,card,1,2,4,4.png,,0
20251214_001037,640377,memorization,gaze_sample,1496,450,,,card,1,2,4,4.png,,0
20251214_001037,640441,memorization,gaze_sample,1507,436,,,card,1,2,4,4.png,,0
20251214_001037,640501,memorization,gaze_sample,1516,423,,,card,1,2,4,4.png,,0
20251214_001037,640563,memorization,gaze_sample,1521,421,,,card,1,2,4,4.png,,0
20251214_001037,640626,memorization,gaze_sample,1524,412,,,card,1,2,4,4.png,,0
20251214_001037,640688,memorization,gaze_sample,1538,421,,,card,1,2,4,4.png,,0
20251214_001037,640750,memorization,gaze_sample,1539,419,,,card,1,2,4,4.png,,0
20251214_001037,640813,memorization,gaze_sample,1518,436,,,card,1,2,4,4.png,,0
20251214_001037,640875,memorization,gaze_sample,1523,420,,,card,1,2,4,4.png,,0
20251214_001037,640938,memorization,gaze_sample,1532,431,,,card,1,2,4,4.png,,0
20251214_001037,640999,memorization,gaze_sample,1532,431,,,card,1,2,4,4.png,,0
20251214_001037,641063,memorization,gaze_sample,1546,440,,,card,1,2,4,4.png,,0
20251214_001037,641126,memorization,gaze_sample,1602,442,,,card,1,2,4,4.png,,0
20251214_001037,641186,memorization,gaze_sample,1688,440,,,card,1,2,4,4.png,,0
20251214_001037,641248,memorization,gaze_sample,1746,442,,,card,1,3,3,3.png,,0
20251214_001037,641311,memorization,gaze_sample,1803,432,,,card,1,3,3,3.png,,0
20251214_001037,641371,memorization,gaze_sample,1855,422,,,card,1,3,3,3.png,,0
20251214_001037,641434,memorization,gaze_sample,1871,418,,,card,1,3,3,3.png,,0
20251214_001037,641496,memorization,gaze_sample,1884,407,,,card,1,3,3,3.png,,0
20251214_001037,641561,memorization,gaze_sample,1892,406,,,card,1,3,3,3.png,,0
20251214_001037,641621,memorization,gaze_sample,1891,403,,,card,1,3,3,3.png,,0
20251214_001037,641684,memorization,gaze_sample,1902,407,,,card,1,3,3,3.png,,0
20251214_001037,641744,memorization,gaze_sample,1903,411,,,card,1,3,3,3.png,,0
20251214_001037,641807,memorization,gaze_sample,1900,418,,,card,1,3,3,3.png,,0
20251214_001037,641870,memorization,gaze_sample,1903,419,,,card,1,3,3,3.png,,0
20251214_001037,641931,memorization,gaze_sample,1921,434,,,card,1,3,3,3.png,,0
20251214_001037,641994,memorization,gaze_sample,1911,432,,,card,1,3,3,3.png,,0
