session_id,timestamp_ms,phase,event_type,gaze_x,gaze_y,click_x,click_y,element_type,card_row,card_col,card_id,card_image_name,matched,game_time_ms
20251212_134053,49254142,memorization,phase_start,,,,,,,,,,,0
20251212_134053,49254226,memorization,gaze_sample,772,1012,,,card,2,2,4,4.png,,0
20251212_134053,49254291,memorization,gaze_sample,1010,964,,,card,2,2,4,4.png,,0
20251212_134053,49254354,memorization,gaze_sample,1088,966,,,grid_frame,,,,,,0
20251212_134053,49254417,memorization,gaze_sample,930,906,,,card,2,2,4,4.png,,0
20251212_134053,49254477,memorization,gaze_sample,933,919,,,card,2,2,4,4.png,,0
20251212_134053,49254537,memorization,gaze_sample,932,844,,,card,2,2,4,4.png,,0
20251212_134053,49254606,memorization,gaze_sample,958,849,,,card,2,2,4,4.png,,0
20251212_134053,49254666,memorization,gaze_sample,828,828,,,card,2,2,4,4.png,,0
20251212_134053,49254734,memorization,gaze_sample,871,872,,,card,2,2,4,4.png,,0
20251212_134053,49254790,memorization,gaze_sample,805,865,,,card,2,2,4,4.png,,0
20251212_134053,49254852,memorization,gaze_sample,908,949,,,card,2,2,4,4.png,,0
20251212_134053,49254914,memorization,gaze_sample,795,898,,,card,2,2,4,4.png,,0
20251212_134053,49254977,memorization,gaze_sample,879,887,,,card,2,2,4,4.png,,0
20251212_134053,49255039,memorization,gaze_sample,937,868,,,card,2,2,4,4.png,,0
20251212_134053,49255102,memorization,gaze_sample,1048,946,,,card,2,2,4,4.png,,0
20251212_134053,49255163,memorization,gaze_sample,976,998,,,card,2,2,4,4.png,,0
20251212_134053,49255230,memorization,gaze_sample,984,1113,,,card,2,2,4,4.png,,0
20251212_134053,49255290,memorization,gaze_sample,841,1182,,,card,2,2,4,4.png,,0
20251212_134053,49255348,memorization,gaze_sample,928,1241,,,card,2,2,4,4.png,,0
20251212_134053,49255417,memorization,gaze_sample,762,1167,,,card,2,2,4,4.png,,0
20251212_134053,49255479,memorization,gaze_sample,618,1022,,,card,2,2,4,4.png,,0
20251212_134053,49255538,memorization,gaze_sample,520,1025,,,card,2,1,3,3.png,,0
20251212_134053,49255601,memorization,gaze_sample,538,1013,,,card,2,1,3,3.png,,0
20251212_134053,49255659,memorization,gaze_sample,337,1029,,,card,2,1,3,3.png,,0
20251212_134053,49255741,memorization,gaze_sample,400,1018,,,card,2,1,3,3.png,,0
20251212_134053,49255793,memorization,gaze_sample,455,1086,,,card,2,1,3,3.png,,0
20251212_134053,49255857,memorization,gaze_sample,470,1030,,,card,2,1,3,3.png,,0
20251212_134053,49255925,memorization,gaze_sample,475,982,,,card,2,1,3,3.png,,0
20251212_134053,49255985,memorization,gaze_sample,486,937,,,card,2,1,3,3.png,,0
20251212_134053,49256039,memorization,gaze_sample,434,926,,,card,2,1,3,3.png,,0
20251212_134053,49256108,memorization,gaze_sample,424,908,,,card,2,1,3,3.png,,0
20251212_134053,49256176,memorization,gaze_sample,427,893,,,card,2,1,3,3.png,,0
20251212_134053,49256238,memorization,gaze_sample,486,901,,,card,2,1,3,3.png,,0
20251212_134053,49256294,memorization,gaze_sample,503,897,,,card,2,1,3,3.png,,0
20251212_134053,49256358,memorization,gaze_sample,690,964,,,card,2,2,4,4.png,,0
20251212_134053,49256422,memorization,gaze_sample,724,977,,,card,2,2,4,4.png,,0
20251212_134053,49256483,memorization,gaze_sample,732,956,,,card,2,2,4,4.png,,0
20251212_134053,49256537,memorization,gaze_sample,679,973,,,card,2,2,4,4.png,,0
20251212_134053,49256605,memorization,gaze_sample,687,945,,,card,2,2,4,4.png,,0
20251212_134053,49256669,memorization,gaze_sample,511,875,,,card,2,1,3,3.png,,0
20251212_134053,49256731,memorization,gaze_sample,507,865,,,card,2,1,3,3.png,,0
20251212_134053,49256793,memorization,gaze_sample,480,804,,,grid_frame,,,,,,0
20251212_134053,49256860,memorization,gaze_sample,483,802,,,grid_frame,,,,,,0
20251212_134053,49256919,memorization,gaze_sample,644,883,,,card,2,2,4,4.png,,0
20251212_134053,49256972,memorization,gaze_sample,626,794,,,grid_frame,,,,,,0
20251212_134053,49257039,memorization,gaze_sample,779,865,,,card,2,2,4,4.png,,0
20251212_134053,49257102,memorization,gaze_sample,1003,1014,,,card,2,2,4,4.png,,0
20251212_134053,49257166,memorization,gaze_sample,950,920,,,card,2,2,4,4.png,,0
20251212_134053,49257230,memorization,gaze_sample,928,899,,,card,2,2,4,4.png,,0
20251212_134053,49257290,memorization,gaze_sample,975,1002,,,card,2,2,4,4.png,,0
20251212_134053,49257353,memorization,gaze_sample,769,842,,,card,2,2,4,4.png,,0
20251212_134053,49257420,memorization,gaze_sample,552,790,,,grid_frame,,,,,,0
20251212_134053,49257482,memorization,gaze_sample,590,907,,,card,2,2,4,4.png,,0
20251212_134053,49257539,memorization,gaze_sample,434,862,,,card,2,1,3,3.png,,0
20251212_134053,49257605,memorization,gaze_sample,376,769,,,grid_frame,,,,,,0
20251212_134053,49257666,memorization,gaze_sample,467,881,,,card,2,1,3,3.png,,0
20251212_134053,49257731,memorization,gaze_sample,480,756,,,grid_frame,,,,,,0
20251212_134053,49257789,memorization,gaze_sample,512,613,,,card,1,1,2,2.png,,0
20251212_134053,49257853,memorization,gaze_sample,499,626,,,card,1,1,2,2.png,,0
20251212_134053,49257924,memorization,gaze_sample,518,735,,,card,1,1,2,2.png,,0
20251212_134053,49257984,memorization,gaze_sample,644,771,,,grid_frame,,,,,,0
20251212_134053,49258039,memorization,gaze_sample,657,893,,,card,2,2,4,4.png,,0
20251212_134053,49258107,memorization,gaze_sample,622,891,,,card,2,2,4,4.png,,0
20251212_134053,49258165,memorization,gaze_sample,811,938,,,card,2,2,4,4.png,,0
20251212_134053,49258226,memorization,gaze_sample,855,899,,,card,2,2,4,4.png,,0
20251212_134053,49258290,memorization,gaze_sample,732,870,,,card,2,2,4,4.png,,0
20251212_134053,49258350,memorization,gaze_sample,696,746,,,card,1,2,4,4.png,,0
20251212_134053,49258414,memorization,gaze_sample,736,865,,,card,2,2,4,4.png,,0
20251212_134053,49258485,memorization,gaze_sample,560,791,,,grid_frame,,,,,,0
20251212_134053,49258539,memorization,gaze_sample,532,832,,,card,2,1,3,3.png,,0
20251212_134053,49258601,memorization,gaze_sample,461,815,,,card,2,1,3,3.png,,0
20251212_134053,49258662,memorization,gaze_sample,468,822,,,card,2,1,3,3.png,,0
20251212_134053,49258727,memorization,gaze_sample,415,799,,,grid_frame,,,,,,0
20251212_134053,49258791,memorization,gaze_sample,388,846,,,card,2,1,3,3.png,,0
20251212_134053,49258850,memorization,gaze_sample,373,881,,,card,2,1,3,3.png,,0
20251212_134053,49258912,memorization,gaze_sample,573,944,,,grid_frame,,,,,,0
20251212_134053,49258973,memorization,gaze_sample,619,1079,,,card,2,2,4,4.png,,0
20251212_134053,49259037,memorization,gaze_sample,654,992,,,card,2,2,4,4.png,,0
20251212_134053,49259102,memorization,gaze_sample,670,844,,,card,2,2,4,4.png,,0
20251212_134053,49259161,memorization,gaze_sample,671,804,,,grid_frame,,,,,,0
20251212_134053,49259304,memorization,phase_end,,,,,,,,,,,0
20251212_134053,49259304,play,phase_start,,,,,,,,,,,0
20251212_134053,49259328,play,gaze_sample,466,643,,,card,1,1,2,2.png,,25
20251212_134053,49259390,play,gaze_sample,632,675,,,card,1,2,4,4.png,,87
20251212_134053,49259418,play,gaze_sample,621,815,,,card,2,2,4,4.png,,115
20251212_134053,49259490,play,gaze_sample,656,953,,,card,2,2,4,4.png,,187
20251212_134053,49259537,play,gaze_sample,643,834,,,card,2,2,4,4.png,,234
20251212_134053,49259598,play,gaze_sample,662,936,,,card,2,2,4,4.png,,295
20251212_134053,49259670,play,gaze_sample,474,892,,,card,2,1,3,3.png,,367
20251212_134053,49259736,play,gaze_sample,480,742,,,card,1,1,2,2.png,,433
20251212_134053,49259785,play,gaze_sample,609,782,,,grid_frame,,,,,,482
20251212_134053,49259855,play,gaze_sample,622,875,,,card,2,2,4,4.png,,552
20251212_134053,49259924,play,gaze_sample,806,911,,,card,2,2,4,4.png,,621
20251212_134053,49259991,play,gaze_sample,804,1024,,,card,2,2,4,4.png,,688
20251212_134053,49260040,play,gaze_sample,773,1084,,,card,2,2,4,4.png,,737
20251212_134053,49260096,play,gaze_sample,773,1084,,,card,2,2,4,4.png,,793
20251212_134053,49260173,play,gaze_sample,564,985,,,grid_frame,,,,,,870
20251212_134053,49260241,play,gaze_sample,601,1035,,,card,2,2,4,4.png,,938
20251212_134053,49260289,play,gaze_sample,395,1031,,,card,2,1,3,3.png,,986
20251212_134053,49260402,play,click,416,942,314,517,card,1,1,2,2.png,0,1076
20251212_134053,49260426,play,gaze_sample,471,1031,,,card,2,1,3,3.png,,1123
20251212_134053,49260486,play,gaze_sample,704,1113,,,card,2,2,4,4.png,,1183
20251212_134053,49260539,play,gaze_sample,639,1100,,,card,2,2,4,4.png,,1236
20251212_134053,49260603,play,gaze_sample,647,1003,,,card,2,2,4,4.png,,1300
20251212_134053,49260670,play,gaze_sample,777,1007,,,card,2,2,4,4.png,,1367
20251212_134053,49260739,play,gaze_sample,727,981,,,card,2,2,4,4.png,,1436
20251212_134053,49260793,play,gaze_sample,530,938,,,card,2,1,3,3.png,,1490
20251212_134053,49260856,play,gaze_sample,781,953,,,card,2,2,4,4.png,,1553
20251212_134053,49260922,play,gaze_sample,894,1005,,,card,2,2,4,4.png,,1619
20251212_134053,49260983,play,gaze_sample,830,933,,,card,2,2,4,4.png,,1680
20251212_134053,49261038,play,gaze_sample,976,915,,,card,2,2,4,4.png,,1735
20251212_134053,49261104,play,gaze_sample,1105,888,,,card,2,3,1,1.png,,1801
20251212_134053,49261164,play,gaze_sample,990,828,,,card,2,2,4,4.png,,1861
20251212_134053,49261225,play,gaze_sample,989,819,,,card,2,2,4,4.png,,1922
20251212_134053,49261290,play,gaze_sample,1019,804,,,grid_frame,,,,,,1987
20251212_134053,49261356,play,gaze_sample,996,804,,,grid_frame,,,,,,2053
20251212_134053,49261421,play,gaze_sample,972,798,,,grid_frame,,,,,,2118
20251212_134053,49261485,play,gaze_sample,1030,839,,,card,2,2,4,4.png,,2182
20251212_134053,49261538,play,gaze_sample,1023,807,,,card,2,2,4,4.png,,2235
20251212_134053,49261602,play,gaze_sample,1051,901,,,card,2,2,4,4.png,,2299
20251212_134053,49261667,play,gaze_sample,997,917,,,card,2,2,4,4.png,,2364
20251212_134053,49261726,play,gaze_sample,961,958,,,card,2,2,4,4.png,,2423
20251212_134053,49261788,play,gaze_sample,843,930,,,card,2,2,4,4.png,,2485
20251212_134053,49261851,play,gaze_sample,759,990,,,card,2,2,4,4.png,,2548
20251212_134053,49261917,play,gaze_sample,644,934,,,card,2,2,4,4.png,,2614
20251212_134053,49261977,play,gaze_sample,781,980,,,card,2,2,4,4.png,,2674
20251212_134053,49262040,play,gaze_sample,739,995,,,card,2,2,4,4.png,,2737
20251212_134053,49262103,play,gaze_sample,724,1017,,,card,2,2,4,4.png,,2800
20251212_134053,49262166,play,gaze_sample,731,911,,,card,2,2,4,4.png,,2863
20251212_134053,49262227,play,gaze_sample,754,916,,,card,2,2,4,4.png,,2924
20251212_134053,49262288,play,gaze_sample,579,836,,,grid_frame,,,,,,2985
20251212_134053,49262352,play,gaze_sample,543,825,,,card,2,1,3,3.png,,3049
20251212_134053,49262417,play,gaze_sample,572,708,,,grid_frame,,,,,,3114
20251212_134053,49262476,play,gaze_sample,528,716,,,card,1,1,2,2.png,,3173
20251212_134053,49262550,play,click,530,740,823,517,card,1,2,4,4.png,0,3220
20251212_134053,49262573,play,gaze_sample,591,784,,,grid_frame,,,,,,3270
20251212_134053,49262608,play,gaze_sample,827,806,,,card,2,2,4,4.png,,3305
20251212_134053,49262662,play,gaze_sample,860,911,,,card,2,2,4,4.png,,3359
20251212_134053,49262728,play,gaze_sample,929,992,,,card,2,2,4,4.png,,3425
20251212_134053,49262792,play,gaze_sample,917,968,,,card,2,2,4,4.png,,3489
20251212_134053,49262852,play,gaze_sample,920,952,,,card,2,2,4,4.png,,3549
20251212_134053,49262913,play,gaze_sample,795,932,,,card,2,2,4,4.png,,3610
20251212_134053,49262976,play,gaze_sample,898,966,,,card,2,2,4,4.png,,3673
20251212_134053,49263039,play,gaze_sample,936,979,,,card,2,2,4,4.png,,3736
20251212_134053,49263107,play,gaze_sample,1030,989,,,card,2,2,4,4.png,,3804
20251212_134053,49263169,play,gaze_sample,1173,1036,,,card,2,3,1,1.png,,3866
