session_id,game_id,timestamp_ms,phase,event_type,gaze_x,gaze_y,click_x,click_y,element_type,card_row,card_col,card_id,card_image_name,matched,game_time_ms
20251215_141526,1,51547705,memorization,phase_start,,,,,,,,,,,0
20251215_141526,1,51547779,memorization,gaze_sample,263,-6,,,other,,,,,,0
20251215_141526,1,51547849,memorization,gaze_sample,283,-2,,,other,,,,,,0
20251215_141526,1,51547899,memorization,gaze_sample,279,3,,,other,,,,,,0
20251215_141526,1,51547962,memorization,gaze_sample,388,36,,,other,,,,,,0
20251215_141526,1,51548029,memorization,gaze_sample,370,35,,,other,,,,,,0
20251215_141526,1,51548095,memorization,gaze_sample,487,73,,,other,,,,,,0
20251215_141526,1,51548160,memorization,gaze_sample,488,80,,,other,,,,,,0
20251215_141526,1,51548210,memorization,gaze_sample,495,85,,,other,,,,,,0
20251215_141526,1,51548276,memorization,gaze_sample,580,158,,,other,,,,,,0
20251215_141526,1,51548342,memorization,gaze_sample,747,280,,,grid_frame,,,,,,0
20251215_141526,1,51548411,memorization,gaze_sample,797,363,,,card,1,2,4,4.png,,0
20251215_141526,1,51548452,memorization,gaze_sample,981,492,,,card,1,2,4,4.png,,0
20251215_141526,1,51548532,memorization,gaze_sample,1114,582,,,card,1,3,4,4.png,,0
20251215_141526,1,51548599,memorization,gaze_sample,1049,507,,,card,1,2,4,4.png,,0
20251215_141526,1,51548653,memorization,gaze_sample,987,410,,,card,1,2,4,4.png,,0
20251215_141526,1,51548715,memorization,gaze_sample,937,305,,,card,1,2,4,4.png,,0
20251215_141526,1,51548787,memorization,gaze_sample,906,240,,,grid_frame,,,,,,0
20251215_141526,1,51548848,memorization,gaze_sample,890,157,,,other,,,,,,0
20251215_141526,1,51548900,memorization,gaze_sample,910,149,,,other,,,,,,0
20251215_141526,1,51548972,memorization,gaze_sample,941,130,,,status_label,,,,,,0
20251215_141526,1,51549034,memorization,gaze_sample,950,132,,,other,,,,,,0
20251215_141526,1,51549096,memorization,gaze_sample,919,75,,,other,,,,,,0
20251215_141526,1,51549157,memorization,gaze_sample,918,62,,,other,,,,,,0
20251215_141526,1,51549222,memorization,gaze_sample,903,42,,,other,,,,,,0
20251215_141526,1,51549286,memorization,gaze_sample,912,57,,,other,,,,,,0
20251215_141526,1,51549351,memorization,gaze_sample,895,85,,,other,,,,,,0
20251215_141526,1,51549416,memorization,gaze_sample,878,93,,,other,,,,,,0
20251215_141526,1,51549468,memorization,gaze_sample,866,122,,,status_label,,,,,,0
20251215_141526,1,51549538,memorization,gaze_sample,868,149,,,other,,,,,,0
20251215_141526,1,51549603,memorization,gaze_sample,838,145,,,other,,,,,,0
20251215_141526,1,51549669,memorization,gaze_sample,856,135,,,other,,,,,,0
20251215_141526,1,51549719,memorization,gaze_sample,863,142,,,other,,,,,,0
20251215_141526,1,51549792,memorization,gaze_sample,883,130,,,status_label,,,,,,0
20251215_141526,1,51549854,memorization,gaze_sample,870,94,,,other,,,,,,0
20251215_141526,1,51549920,memorization,gaze_sample,779,56,,,other,,,,,,0
20251215_141526,1,51549988,memorization,gaze_sample,793,29,,,other,,,,,,0
20251215_141526,1,51550050,memorization,gaze_sample,797,-1,,,other,,,,,,0
20251215_141526,1,51550123,memorization,gaze_sample,816,5,,,other,,,,,,0
20251215_141526,1,51550185,memorization,gaze_sample,856,36,,,other,,,,,,0
20251215_141526,1,51550239,memorization,gaze_sample,943,37,,,other,,,,,,0
20251215_141526,1,51550300,memorization,gaze_sample,938,44,,,other,,,,,,0
20251215_141526,1,51550374,memorization,gaze_sample,959,64,,,other,,,,,,0
20251215_141526,1,51550426,memorization,gaze_sample,961,66,,,other,,,,,,0
