session_id,game_id,timestamp_ms,phase,event_type,gaze_x,gaze_y,click_x,click_y,element_type,card_row,card_col,card_id,card_image_name,matched,game_time_ms
20251224_143337,1,52473598,memorization,phase_start,,,,,,,,,,,0
20251224_143337,1,52473668,memorization,gaze_sample,512,435,,,card,1,2,,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\3.png,,0
20251224_143337,1,52473730,memorization,gaze_sample,460,482,,,card,1,2,,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\3.png,,0
20251224_143337,1,52473793,memorization,gaze_sample,531,466,,,card,1,2,,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\3.png,,0
20251224_143337,1,52473857,memorization,gaze_sample,584,466,,,card,1,2,,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\3.png,,0
20251224_143337,1,52473924,memorization,gaze_sample,567,456,,,card,1,2,,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\3.png,,0
20251224_143337,1,52473987,memorization,gaze_sample,544,455,,,card,1,2,,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\3.png,,0
20251224_143337,1,52474035,memorization,gaze_sample,538,430,,,card,1,2,,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\3.png,,0
20251224_143337,1,52474110,memorization,gaze_sample,470,425,,,card,1,2,,C:\Users\domin\OneDrive\Documents\Studia\Inzynierka\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\3.png,,0
20251224_143337,1,52474170,memorization,gaze_sample,428,418,,,grid_frame,,,,,,0
