session_id,game_id,timestamp_ms,phase,event_type,gaze_x,gaze_y,click_x,click_y,element_type,card_row,card_col,card_id,card_image_name,matched,game_time_ms
20260117_185850,1,68388150,memorization,phase_start,,,,,,,,,,,0
20260117_185850,1,68388227,memorization,gaze_sample,1932,633,,,card,1,3,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (1).jpg,,0
20260117_185850,1,68388288,memorization,gaze_sample,1971,671,,,card,1,3,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (1).jpg,,0
20260117_185850,1,68388350,memorization,gaze_sample,1881,635,,,grid_frame,,,,,,0
20260117_185850,1,68388412,memorization,gaze_sample,1901,630,,,card,1,3,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (1).jpg,,0
20260117_185850,1,68388474,memorization,gaze_sample,1905,645,,,card,1,3,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (1).jpg,,0
20260117_185850,1,68388535,memorization,gaze_sample,1903,657,,,card,1,3,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (1).jpg,,0
20260117_185850,1,68388598,memorization,gaze_sample,1875,640,,,grid_frame,,,,,,0
20260117_185850,1,68388661,memorization,gaze_sample,1848,651,,,card,1,2,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (7).jpg,,0
20260117_185850,1,68388724,memorization,gaze_sample,1763,647,,,card,1,2,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (7).jpg,,0
20260117_185850,1,68388787,memorization,gaze_sample,1680,628,,,card,1,2,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (7).jpg,,0
20260117_185850,1,68388848,memorization,gaze_sample,1596,613,,,card,1,2,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (7).jpg,,0
20260117_185850,1,68388911,memorization,gaze_sample,1612,617,,,card,1,2,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (7).jpg,,0
20260117_185850,1,68388972,memorization,gaze_sample,1715,619,,,card,1,2,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (7).jpg,,0
20260117_185850,1,68389035,memorization,gaze_sample,1820,625,,,card,1,2,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (7).jpg,,0
20260117_185850,1,68389096,memorization,gaze_sample,1937,633,,,card,1,3,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (1).jpg,,0
20260117_185850,1,68389158,memorization,gaze_sample,2081,632,,,card,1,3,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (1).jpg,,0
20260117_185850,1,68389222,memorization,gaze_sample,2139,624,,,card,1,3,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (1).jpg,,0
20260117_185850,1,68389283,memorization,gaze_sample,2183,632,,,card,1,3,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (1).jpg,,0
20260117_185850,1,68389346,memorization,gaze_sample,2150,618,,,card,1,3,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (1).jpg,,0
20260117_185850,1,68389409,memorization,gaze_sample,2115,597,,,card,1,3,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (1).jpg,,0
20260117_185850,1,68389471,memorization,gaze_sample,2019,587,,,card,1,3,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (1).jpg,,0
20260117_185850,1,68389533,memorization,gaze_sample,1932,581,,,card,1,3,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (1).jpg,,0
20260117_185850,1,68389597,memorization,gaze_sample,1836,560,,,card,1,2,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (7).jpg,,0
20260117_185850,1,68389660,memorization,gaze_sample,1851,563,,,card,1,2,,D:\main\Desktop\Inzynierka\git\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\medium\medium (7).jpg,,0
