ms,x,y,flip,matched,card_id
556,1537,645,1,0,2
1246,1179,990,2,1,2
1670,1997,1030,1,0,7
2310,1677,1016,2,1,7
2508,1961,655,1,0,4
3311,2643,648,2,0,1
3419,2455,1112,1,0,1
4496,2522,637,2,1,1
4661,1084,628,1,0,4
5483,2093,642,2,1,4
