session_id,game_id,timestamp_ms,phase,event_type,gaze_x,gaze_y,click_x,click_y,element_type,card_row,card_col,card_id,card_image_name,matched,game_time_ms
20260120_163140,1,59596829,memorization,phase_start,,,,,,,,,,,0
20260120_163140,1,59596959,memorization,gaze_sample,1154,529,,,card,1,3,1,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (1).jpg,,0
20260120_163140,1,59596986,memorization,gaze_sample,1149,528,,,card,1,3,1,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (1).jpg,,0
20260120_163140,1,59597041,memorization,gaze_sample,1132,538,,,card,1,3,1,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (1).jpg,,0
20260120_163140,1,59597115,memorization,gaze_sample,1111,513,,,card,1,3,1,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (1).jpg,,0
20260120_163140,1,59597173,memorization,gaze_sample,1098,507,,,card,1,3,1,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (1).jpg,,0
20260120_163140,1,59597242,memorization,gaze_sample,1072,504,,,card,1,3,1,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (1).jpg,,0
20260120_163140,1,59597332,memorization,gaze_sample,1051,493,,,card,1,3,1,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (1).jpg,,0
20260120_163140,1,59597407,memorization,gaze_sample,1087,471,,,card,1,3,1,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (1).jpg,,0
20260120_163140,1,59597481,memorization,gaze_sample,1152,447,,,card,1,3,1,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (1).jpg,,0
20260120_163140,1,59597609,memorization,gaze_sample,1043,448,,,card,1,3,1,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (1).jpg,,0
20260120_163140,1,59597748,memorization,gaze_sample,933,453,,,grid_frame,,,,,,0
20260120_163140,1,59597845,memorization,gaze_sample,864,433,,,card,1,2,3,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (3).jpg,,0
20260120_163140,1,59597898,memorization,gaze_sample,775,448,,,card,1,2,3,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (3).jpg,,0
20260120_163140,1,59597968,memorization,gaze_sample,705,450,,,card,1,2,3,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (3).jpg,,0
20260120_163140,1,59598031,memorization,gaze_sample,796,434,,,card,1,2,3,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (3).jpg,,0
20260120_163140,1,59598103,memorization,gaze_sample,917,415,,,grid_frame,,,,,,0
20260120_163140,1,59598159,memorization,gaze_sample,878,461,,,card,1,2,3,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (3).jpg,,0
20260120_163140,1,59598267,memorization,gaze_sample,799,498,,,card,1,2,3,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (3).jpg,,0
20260120_163140,1,59598346,memorization,gaze_sample,700,540,,,card,1,2,3,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (3).jpg,,0
20260120_163140,1,59598419,memorization,gaze_sample,727,535,,,card,1,2,3,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (3).jpg,,0
20260120_163140,1,59598538,memorization,gaze_sample,739,595,,,grid_frame,,,,,,0
20260120_163140,1,59598657,memorization,gaze_sample,815,589,,,card,1,2,3,C:\Users\Ola\Documents\PW\EyeTracker-MemoryGameAnalyses\MemoryGame_App\images\easy\easy (3).jpg,,0
20260120_163140,1,59598723,memorization,gaze_sample,949,586,,,grid_frame,,,,,,0
20260120_163140,1,59598826,memorization,gaze_sample,1127,601,,,grid_frame,,,,,,0
